0.000000	54.567070
0.020000	28.230564
0.040000	24.771650
0.060000	24.771650
0.080000	24.771650
0.100000	24.771650
0.120000	21.268890
0.140000	24.771650
0.160000	21.268890
0.180000	21.268890
0.200000	24.771650
0.220000	24.771650
0.240000	24.771650
0.260000	21.268890
0.280000	21.268890
0.300000	24.771650
0.320000	21.268890
0.340000	24.771650
0.360000	21.268890
0.380000	24.771650
0.400000	21.268890
0.420000	24.771650
0.440000	21.268890
0.460000	24.771650
0.480000	28.230564
0.500000	21.268890
0.520000	24.771650
0.540000	24.771650
0.560000	28.230564
0.580000	24.771650
0.600000	24.771650
0.620000	21.268890
0.640000	28.230564
0.660000	24.771650
0.680000	24.771650
0.700000	21.268890
0.720000	24.771650
0.740000	28.230564
0.760000	24.771650
0.780000	24.771650
0.800000	24.771650
0.820000	28.230564
0.840000	31.648006
0.860000	24.771650
0.880000	31.648006
0.900000	28.230564
0.920000	28.230564
0.940000	28.230564
0.960000	31.648006
0.980000	28.230564
1.000000	35.026119
1.020000	35.026119
1.040000	31.648006
1.060000	31.648006
1.080000	31.648006
1.100000	38.366837
1.120000	35.026119
1.140000	31.648006
1.160000	35.026119
1.180000	38.366837
1.200000	35.026119
1.220000	41.671944
1.240000	41.671944
1.260000	41.671944
1.280000	41.671944
1.300000	44.943066
1.320000	41.671944
1.340000	48.181709
1.360000	44.943066
1.380000	48.181709
1.400000	44.943066
1.420000	44.943066
1.440000	44.943066
1.460000	48.181709
1.480000	51.389275
1.500000	48.181709
1.520000	51.389275
1.540000	54.567070
1.560000	44.943066
1.580000	44.943066
1.600000	44.943066
1.620000	48.181709
1.640000	48.181709
1.660000	44.943066
1.680000	51.389275
1.700000	51.389275
1.720000	44.943066
1.740000	51.389275
1.760000	48.181709
1.780000	44.943066
1.800000	44.943066
1.820000	51.389275
1.840000	48.181709
1.860000	48.181709
1.880000	44.943066
1.900000	44.943066
1.920000	51.389275
1.940000	48.181709
1.960000	44.943066
1.980000	51.389275
2.000000	48.181709
2.020000	44.943066
2.040000	48.181709
2.060000	48.181709
2.080000	48.181709
2.100000	44.943066
2.120000	51.389275
2.140000	51.389275
2.160000	48.181709
2.180000	48.181709
2.200000	48.181709
2.220000	48.181709
2.240000	51.389275
2.260000	54.567070
2.280000	51.389275
2.300000	48.181709
2.320000	48.181709
2.340000	51.389275
2.360000	51.389275
2.380000	54.567070
2.400000	51.389275
2.420000	54.567070
2.440000	51.389275
2.460000	51.389275
2.480000	57.716312
2.500000	57.716312
2.520000	57.716312
2.540000	54.567070
2.560000	60.838173
2.580000	60.838173
2.600000	60.838173
2.620000	60.838173
2.640000	60.838173
2.660000	67.004082
2.680000	63.933746
2.700000	67.004082
2.720000	67.004082
2.740000	70.050156
2.760000	70.050156
2.780000	73.072945
2.800000	76.073341
2.820000	76.073341
2.840000	79.052216
2.860000	82.010399
2.880000	79.052216
2.900000	84.948677
2.920000	87.867821
2.940000	87.867821
2.960000	87.867821
2.980000	93.651520
3.000000	90.768539
3.020000	96.517426
3.040000	96.517426
3.060000	99.366859
3.080000	102.200409
3.100000	105.018608
3.120000	105.018608
3.140000	110.611038
3.160000	105.018608
3.180000	113.386185
3.200000	110.611038
3.220000	116.147865
3.240000	118.896469
3.260000	121.632370
3.280000	121.632370
3.300000	124.355904
3.320000	124.355904
3.340000	127.067383
3.360000	127.067383
3.380000	127.067383
3.400000	129.767105
3.420000	132.455368
3.440000	132.455368
3.460000	135.132416
3.480000	140.453857
3.500000	137.798508
3.520000	140.453857
3.540000	145.733307
3.560000	145.733307
3.580000	148.357864
3.600000	145.733307
3.620000	153.577606
3.640000	148.357864
3.660000	153.577606
3.680000	153.577606
3.700000	156.173218
3.720000	156.173218
3.740000	161.337082
3.760000	163.905762
3.780000	161.337082
3.800000	169.017624
3.820000	171.561295
3.840000	171.561295
3.860000	174.097107
3.880000	176.625244
3.900000	174.097107
3.920000	179.145996
3.940000	181.659515
3.960000	189.159058
3.980000	189.159058
4.000000	189.159058
4.020000	194.126511
4.040000	196.601089
4.060000	199.069717
4.080000	199.069717
4.100000	203.989624
4.120000	206.441071
4.140000	211.327057
4.160000	213.761597
4.180000	218.613785
4.200000	216.190536
4.220000	223.443161
4.240000	223.443161
4.260000	228.249619
4.280000	233.033722
4.300000	235.417923
4.320000	240.172684
4.340000	242.544693
4.360000	244.914520
4.380000	249.653702
4.400000	252.009094
4.420000	256.706726
4.440000	259.049805
